id,t,d+1,d,L,eps,U
1,11,1.0,1.0,1.0,0.5974084622354677,52.18040240340149
1,12,1.0,1.0,1.0,0.8777911089982925,51.377469579576626
1,13,1.0,1.0,1.0,-0.5867376312317232,48.82962536875893
1,14,1.0,1.0,1.0,0.8492204633621336,49.182267992765105
1,15,1.0,1.0,1.0,0.09899383118078772,47.34872588999607
1,16,1.0,1.0,1.0,0.05709420890776378,46.22351079713536
1,17,1.0,1.0,1.0,1.1123636146541234,46.195464732294035
1,18,2.0,1.0,0.0,-1.5192742946069728,42.99978564705223
1,19,2.0,2.0,1.0,-0.454250471105675,42.46221970535887
1,20,2.0,2.0,1.0,-0.5101422026558627,41.323012503220994
1,21,2.0,2.0,1.0,-0.25941911400570317,40.49042012128347
1,22,2.0,2.0,1.0,0.17766269098684348,39.84418645568833
1,23,2.0,2.0,1.0,-0.6649873432182696,37.91822095089553
1,24,2.0,2.0,1.0,0.24629502660121458,37.746187850127335
1,25,2.0,2.0,1.0,1.5062199550087034,37.922797307947135
1,26,2.0,2.0,1.0,0.7560370696129511,36.0892989519637
1,27,2.0,2.0,1.0,-0.5063434412727542,33.74360297049031
1,28,2.0,2.0,1.0,1.1937001334850807,34.36033107466046
1,29,2.0,2.0,1.0,-0.4008735427525702,31.682441927835118
1,30,3.0,2.0,0.0,-0.8092209748134427,1000.0
2,1,0.0,0.0,1.0,0.48496759541815604,62.901116242461
2,2,0.0,0.0,1.0,-0.9659512085321115,60.36688196792305
2,3,0.0,0.0,1.0,-0.10700976509347242,60.142507940774
2,4,0.0,0.0,1.0,1.2037183861986536,60.36992062147845
2,5,0.0,0.0,1.0,0.6071353195261647,58.69002208421828
2,6,0.0,0.0,1.0,-0.5806921419341081,56.41887915217032
2,7,0.0,0.0,1.0,-0.07746901641055781,55.83878680710619
2,8,0.0,0.0,1.0,-0.5181098941139861,54.31483045881508
2,9,0.0,0.0,1.0,1.0125230171407031,54.76214789948208
2,10,1.0,0.0,0.0,-1.1068983280718179,51.6663094117537
2,11,2.0,1.0,0.0,-1.3016216053931162,50.582993941166016
2,12,2.0,2.0,1.0,1.3418986017981411,51.841577072376474
2,13,2.0,2.0,1.0,1.6002574539747036,51.01662045396536
2,14,2.0,2.0,1.0,1.0885490813843677,49.42159661078733
2,15,2.0,2.0,1.0,0.9072593643914421,48.156991423206726
2,16,2.0,2.0,1.0,0.6700993316225511,46.83651591985015
2,17,2.0,2.0,1.0,1.173010705649523,46.25611182328944
2,18,2.0,2.0,1.0,1.0566457363670976,45.05643138341932
2,19,2.0,2.0,1.0,0.07472277389683193,42.99119295036137
2,20,2.0,2.0,1.0,-0.6947397636207262,41.138414942256134
2,21,2.0,2.0,1.0,0.9207055654279601,41.67054480071713
2,22,2.0,2.0,1.0,-0.05996637016130789,39.60655739454018
2,23,2.0,2.0,1.0,1.2422526160641587,39.82546091017796
2,24,3.0,2.0,0.0,-1.3519571291146926,36.49989282352612
2,25,3.0,3.0,1.0,-0.640852784107787,35.77572456883065
2,26,3.0,3.0,1.0,0.26619385890624964,35.599455741256996
2,27,4.0,3.0,0.0,-1.7102285197016196,33.24994641176306
2,28,5.0,4.0,0.0,-1.6750304137334946,32.16663094117538
2,29,5.0,5.0,1.0,0.30588086724702057,32.38919633783471
2,30,5.0,5.0,1.0,0.3523243336476101,1000.3523243336476
3,1,0.0,0.0,1.0,0.4944585602173023,62.91060720726015
3,2,0.0,0.0,1.0,1.4697617570574029,62.802594933512566
3,3,0.0,0.0,1.0,0.8792001062844562,61.12871781215193
3,4,0.0,0.0,1.0,1.2695191280336455,60.43572136331344
3,5,0.0,0.0,1.0,-0.8039472246339326,57.27893954005818
3,6,0.0,0.0,1.0,1.7480056628394591,58.74757695694389
3,7,1.0,0.0,0.0,-1.129032239892612,54.91625582351675
3,8,1.0,1.0,1.0,0.29559384137685174,55.128534194305914
3,9,1.0,1.0,1.0,-0.4108781126492955,53.33874676969209
3,10,1.0,1.0,1.0,-0.736219547390263,51.93008986436344
3,11,2.0,1.0,0.0,-1.5859944463743727,50.582993941166016
3,12,2.0,2.0,1.0,-0.2157571967672911,50.28392127381104
3,13,2.0,2.0,1.0,1.5588606580365691,50.975223658027225
3,14,2.0,2.0,1.0,-0.22330725956921263,48.10974026983376
3,15,2.0,2.0,1.0,-0.975268796028102,46.27446326278718
3,16,2.0,2.0,1.0,0.8087927316168168,46.97520931984442
3,17,2.0,2.0,1.0,1.1851065011491464,46.26820761878906
3,18,3.0,2.0,0.0,-1.1682806918947155,42.99978564705223
3,19,4.0,3.0,0.0,-1.1966419714108634,41.91647017646454
3,20,5.0,4.0,0.0,-1.3995787948100444,40.83315470587686
3,21,6.0,5.0,0.0,-2.2810063683028527,39.74983923528917
3,22,6.0,6.0,1.0,0.203226751409878,39.86975051611137
